id,symbol,description,decimal_places,currency_base,currency_quote,ratio,rate,inv_rate,creation_date,valid_until
ARS,$,Peso argentino,2,ARS,USD,0.00995421,0.00995421,100,2021-11-23T02:01:00.000+00:00,2021-11-24T02:01:00.000+00:00
BOB,Bs,Boliviano,2,BOB,USD,0.14367816,0.14367816,7,2021-11-23T02:10:00.000+00:00,2021-11-24T02:10:00.000+00:00
BRL,R$,Real,2,BRL,USD,0.17907989,0.17907989,6,2021-11-23T02:39:00.000+00:00,2021-11-23T16:25:00.000+00:00
CLF,UF,Unidad de Fomento,2,CLF,USD,36.83138152,36.83138152,0,2021-11-23T03:00:00.000+00:00,2021-11-24T03:00:00.000+00:00
CLP,$,Peso Chileno,0,CLP,USD,0.00120088,0.00120088,833,2021-11-23T02:12:00.000+00:00,2021-11-24T02:12:00.000+00:00
COP,$,Peso colombiano,0,COP,USD,0.00025487,0.00025487,3924,2021-11-23T02:15:00.000+00:00,2021-11-23T15:25:00.000+00:00
CRC,₡,Colones,2,CRC,USD,0.00156126,0.00156126,641,2021-11-23T02:18:00.000+00:00,2021-11-24T02:18:00.000+00:00
CUC,CUC,Peso Cubano Convertible,2,CUC,USD,0.00083333,0.00083333,1200,2021-11-23T00:00:00.000+00:00,2021-11-24T00:00:00.000+00:00
CUP,$,Peso Cubano,2,CUP,USD,0.04,0.04,25,2021-11-23T00:00:00.000+00:00,2021-11-24T00:00:00.000+00:00
DOP,$,Peso Dominicano,2,DOP,USD,0.01761435,0.01761435,57,2021-11-23T02:19:00.000+00:00,2021-11-24T02:19:00.000+00:00
EUR,€,Euro,2,EUR,USD,1.12790435,1.12790435,1,2021-11-23T02:32:00.000+00:00,2021-11-24T02:32:00.000+00:00
GTQ,Q,Quetzal Guatemalteco,2,GTQ,USD,0.12944314,0.12944314,8,2021-11-23T02:20:00.000+00:00,2021-11-24T02:20:00.000+00:00
HNL,L,Lempira,0,HNL,USD,0.04148001,0.04148001,24,2021-11-23T02:21:00.000+00:00,2021-11-24T02:21:00.000+00:00
MXN,$,Peso Mexicano,2,MXN,USD,0.04770264,0.04770264,21,2021-11-23T02:24:00.000+00:00,2021-11-23T10:35:00.000+00:00
NIO,C$,Córdoba,0,NIO,USD,0.02821201,0.02821201,35,2021-11-23T02:25:00.000+00:00,2021-11-24T02:25:00.000+00:00
PAB,B/.,Balboa,2,PAB,USD,1,1,1,2021-11-23T00:00:00.000+00:00,2021-11-24T00:00:00.000+00:00
PEN,S/,Soles,2,PEN,USD,0.25125628,0.25125628,4,2021-11-23T00:00:00.000+00:00,2021-11-24T00:00:00.000+00:00
PYG,₲,Guaraní,0,PYG,USD,0.00014616,0.00014616,6842,2021-11-23T02:26:00.000+00:00,2021-11-24T02:26:00.000+00:00
USD,U$S,Dólar,2,USD,USD,1,1,1,2021-11-23T03:59:44.759+00:00,2021-11-24T03:59:44.759+00:00
UYU,$,Peso Uruguayo,2,UYU,USD,0.02242152,0.02242152,45,2021-11-23T02:35:00.000+00:00,2021-11-24T02:35:00.000+00:00
VEF,Bs.,Bolivar fuerte,2,,,,,0,,
VES,Bs.,Bolivar Soberano,2,,,,,0,,
